Genus,Mass_kg,TEE_kcal
Pan,45.0,2028
Pan,61.0,2849
Pan,70.8,2756
Pan,65.9,1501
Pan,46.0,1244
Pan,44.9,1781
Pan,72.6,2185
Pan,40.0,2019
Pan,69.5,2820
Pan,48.0,2022
Pan,50.0,1671
Pan,67.0,1979
Pan,53.0,2271
Pan,88.0,3230
Pan,64.0,1693
Pan,65.0,2590
Pan,58.5,2139
Pan,77.5,2171
Pan,65.0,2521
Pan,49.0,1499
Pan,52.0,1632
Pan,54.0,2002
Pan,55.0,2085
Pan,49.4,2630
Pan,60.4,1569
Pan,57.0,2260
Pan,50.0,1789
Pan,49.0,1742
Pan,49.4,2035
Pan,54.4,2266
Gorilla,126.0,3167
Gorilla,80.3,2852
Gorilla,64.7,1331
Gorilla,72.4,2068
Gorilla,81.8,2087
Gorilla,180.1,4799
Gorilla,65.8,1635
Gorilla,77.0,1778
Gorilla,108.5,2284
Gorilla,220.0,3096
Gorilla,139.6,3023
Pongo,49.5,1270
Pongo,40.5,1299
Pongo,45.0,1188
Pongo,50.9,1785
Pongo,50.4,1166
Pongo,81.6,2382
Pongo,48.4,1106
Pongo,48.0,1046
Pongo,89.8,1750
Pongo,53.2,1600
Pongo,90.0,1803
Pongo,97.4,1583
Pongo,123.4,2943
Pongo,54.5,1892
Pongo,55.5,1322
Pongo,60.5,1409
Pongo,59.2,1685
Pongo,115.9,1693
Pongo,117.3,2189
Pongo,63.0,1026
Pongo,66.1,1566
Pongo,113.0,1502
Pongo,71.0,1593
Pongo,117.9,2078
Pongo,55.0,2418
